LABELS
SEPARATOR COMMA
DATA
lactococcus_00137,Lactococcus garvieae
streptococcus_02064,Streptococcus agalactiae
streptococcus_02063,Streptococcus agalactiae
streptococcus_05950,Streptococcus agalactiae
streptococcus_09930,Streptococcus agalactiae
streptococcus_04286,Streptococcus agalactiae
streptococcus_04015,Streptococcus agalactiae
streptococcus_09918,Streptococcus agalactiae
streptococcus_02159,Streptococcus agalactiae
streptococcus_05954,Streptococcus agalactiae
streptococcus_00186,Streptococcus agalactiae
streptococcus_01723,Streptococcus agalactiae
streptococcus_04284,Streptococcus agalactiae
streptococcus_04390,Streptococcus agalactiae
streptococcus_04418,Streptococcus agalactiae
streptococcus_08003,Streptococcus agalactiae
streptococcus_01804,Streptococcus agalactiae
streptococcus_01809,Streptococcus agalactiae
streptococcus_02071,Streptococcus agalactiae
streptococcus_09948,Streptococcus agalactiae
streptococcus_00084,Streptococcus marimammalium
streptococcus_07829,Streptococcus sp. DD12
streptococcus_02605,Streptococcus mutans
streptococcus_01815,Streptococcus mutans
streptococcus_00331,Streptococcus mutans
streptococcus_11933,Streptococcus troglodytae
streptococcus_00053,Streptococcus ratti
streptococcus_11927,Streptococcus devriesei
streptococcus_07823,Streptococcus macacae
streptococcus_06022,Streptococcus ferus
streptococcus_00011,Streptococcus merionis
streptococcus_11875,Streptococcus sp. DD10
streptococcus_04111,Streptococcus sp. HMSC34B10
streptococcus_11946,uncultured Streptococcus sp.
streptococcus_00192,Streptococcus pseudopneumoniae
streptococcus_10696,Streptococcus pneumoniae
streptococcus_00550,Streptococcus pneumoniae
streptococcus_00551,Streptococcus pneumoniae
streptococcus_06203,Streptococcus pneumoniae
streptococcus_06223,Streptococcus pneumoniae
streptococcus_09004,Streptococcus pneumoniae
streptococcus_08877,Streptococcus pneumoniae
streptococcus_01936,Streptococcus pneumoniae
streptococcus_08288,Streptococcus pneumoniae
streptococcus_02356,Streptococcus pneumoniae
streptococcus_05798,Streptococcus pneumoniae
streptococcus_06464,Streptococcus pneumoniae
streptococcus_00081,Streptococcus pneumoniae
streptococcus_06722,Streptococcus sp. NM
streptococcus_07820,Streptococcus mitis
streptococcus_03934,Streptococcus sp. GMD5S
streptococcus_11876,Streptococcus sp. GMD6S
streptococcus_11871,Streptococcus sp. GMD4S
streptococcus_11899,uncultured Streptococcus sp.
streptococcus_11870,uncultured Streptococcus sp.
streptococcus_11863,uncultured Streptococcus sp.
streptococcus_11904,uncultured Streptococcus sp.
streptococcus_04012,Streptococcus oralis
streptococcus_01814,Streptococcus sp. VT 162
streptococcus_11945,uncultured Streptococcus sp.
streptococcus_03979,Streptococcus mitis
streptococcus_11948,uncultured Streptococcus sp.
streptococcus_11897,uncultured Streptococcus sp.
streptococcus_11947,uncultured Streptococcus sp.
streptococcus_11934,Streptococcus sp. HSISM1
streptococcus_07830,Streptococcus parasanguinis
streptococcus_00085,Streptococcus sp. F0442
streptococcus_11849,Streptococcus sp. JS71
streptococcus_11898,uncultured Streptococcus sp.
streptococcus_00091,Streptococcus massiliensis
streptococcus_07872,Streptococcus intermedius
streptococcus_07904,Streptococcus anginosus
streptococcus_09913,Streptococcus anginosus
streptococcus_11944,Streptococcus sp. DD11
streptococcus_07954,Streptococcus sanguinis
streptococcus_11907,uncultured Streptococcus sp.
streptococcus_11855,Streptococcus sp. Marseille-P644
streptococcus_04001,Streptococcus cristatus
streptococcus_00063,Streptococcus gordonii
streptococcus_00088,Streptococcus himalayensis
streptococcus_11900,Streptococcus sp. WM07
streptococcus_00073,Streptococcus ovis
streptococcus_00167,Streptococcus minor
streptococcus_00010,Streptococcus varani
streptococcus_11872,Streptococcus sp. X13SY08
streptococcus_00563,Streptococcus suis
streptococcus_04630,Streptococcus suis
streptococcus_06016,Streptococcus suis
streptococcus_07833,Streptococcus suis
streptococcus_11960,Streptococcus parasuis
streptococcus_02148,Streptococcus azizii
streptococcus_11865,Streptococcus sp. LYSM12
streptococcus_11918,Streptococcus marmotae
streptococcus_11832,Streptococcus sp. DD13
floricoccus_00001,Floricoccus penangensis
lactococcus_00181,Lactococcus sp. dk322
lactococcus_00187,Lactococcus fujiensis
lactococcus_00188,Lactococcus hircilactis
lactococcus_00186,Lactococcus sp. S-13
lactococcus_00092,Lactococcus lactis subsp. cremoris
lactococcus_00020,Lactococcus lactis subsp. lactis
lactococcus_00059,Lactococcus lactis subsp. lactis
lactococcus_00173,Lactococcus lactis
lactococcus_00017,Lactococcus lactis subsp. cremoris
lactococcus_00184,Lactococcus sp. KACC 19320
lactococcus_00183,Lactococcus sp. 1JSPR-7
