gene_number	group1	group2	group3	group4	group5	group6	group7	group8
gene_164	0.90226	1.00000	1.00000	1.00000	0.75472	1.00000	1.00000	0.75099	
gene_165	1.00000	1.00000	1.00000	1.00000	1.00000	0.65644	0.90323	1.00000	
gene_166	0.82192	0.85040	1.00000	1.00000	1.00000	0.50531	1.00000	1.00000	
gene_167	1.00000	0.94166	1.00000	1.00000	1.00000	0.90674	0.90323	1.00000	
gene_168	1.00000	1.00000	1.00000	1.00000	1.00000	0.82938	1.00000	0.69610	
gene_169	1.00000	1.00000	1.00000	1.00000	0.90580	0.90674	0.90323	0.90498	
gene_170	1.00000	1.00000	1.00000	1.00000	0.82781	0.75893	1.00000	0.90498	
gene_171	1.00000	0.76205	1.00000	1.00000	0.90580	0.82938	1.00000	0.90498	
gene_172	1.00000	1.00000	1.00000	1.00000	0.90580	0.82938	1.00000	1.00000	
gene_173	1.00000	1.00000	1.00000	1.00000	1.00000	0.90674	1.00000	0.90498	
gene_174	0.90226	1.00000	1.00000	0.90090	1.00000	1.00000	1.00000	1.00000	
gene_175	1.00000	0.83056	0.90000	1.00000	1.00000	0.54318	1.00000	1.00000	
gene_176	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.90498	
gene_177	1.00000	1.00000	1.00000	0.90090	0.90580	1.00000	1.00000	1.00000	
gene_178	1.00000	0.90744	0.90000	1.00000	1.00000	0.90674	1.00000	1.00000	
gene_179	0.90226	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.82645	
gene_180	0.90226	0.44121	1.00000	1.00000	1.00000	1.00000	0.90323	1.00000	
gene_181	0.73826	1.00000	1.00000	1.00000	1.00000	0.76419	0.90323	1.00000	
gene_182	1.00000	1.00000	1.00000	1.00000	0.90580	0.70850	1.00000	1.00000	
gene_183	1.00000	1.00000	1.00000	0.81967	1.00000	1.00000	0.82353	1.00000	
gene_184	1.00000	1.00000	0.90000	1.00000	1.00000	0.90674	1.00000	1.00000	
gene_185	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.90323	1.00000	
gene_186	1.00000	1.00000	0.90000	0.81967	1.00000	1.00000	1.00000	1.00000	
gene_187	1.00000	1.00000	1.00000	1.00000	1.00000	0.65644	1.00000	1.00000	
gene_188	0.90226	1.00000	1.00000	1.00000	1.00000	0.90674	1.00000	0.90498	
