gene_number	group1	group2	group3	group4	group5	group6	group7	group8
gene_126	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_127	1.00000	0.49505	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_128	1.00000	0.49505	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_129	1.00000	1.00000	1.00000	0.47619	1.00000	1.00000	1.00000	1.00000	
gene_130	1.00000	0.49505	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_131	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_132	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_133	1.00000	0.62035	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_134	1.00000	1.00000	1.00000	1.00000	0.51653	1.00000	1.00000	1.00000	
gene_135	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_136	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_137	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_138	1.00000	0.62035	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_139	1.00000	0.62035	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_140	1.00000	0.58343	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_141	1.00000	0.55066	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_142	1.00000	0.58343	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_143	1.00000	0.66225	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_144	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_145	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_146	1.00000	0.52138	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_147	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.57637	
gene_148	1.00000	0.62035	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_149	1.00000	1.00000	1.00000	1.00000	0.57870	1.00000	1.00000	1.00000	
gene_150	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_151	1.00000	1.00000	1.00000	1.00000	0.23529	1.00000	1.00000	1.00000	
gene_152	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_153	1.00000	0.58343	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_154	1.00000	0.55066	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_155	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_156	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_157	1.00000	0.55066	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_158	1.00000	0.58343	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_159	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_160	1.00000	0.55066	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_161	1.00000	0.55066	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_162	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_163	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_164	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_165	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_166	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_167	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_168	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_169	1.00000	0.58343	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_170	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_171	1.00000	1.00000	1.00000	0.21429	1.00000	1.00000	1.00000	1.00000	
gene_172	1.00000	0.62035	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_173	1.00000	1.00000	1.00000	0.47619	1.00000	1.00000	1.00000	1.00000	
gene_174	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.57637	
gene_175	1.00000	1.00000	1.00000	1.00000	0.54585	1.00000	1.00000	1.00000	
gene_176	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_177	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_178	1.00000	1.00000	1.00000	1.00000	0.61576	1.00000	1.00000	1.00000	
gene_179	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_180	1.00000	1.00000	1.00000	1.00000	0.49020	1.00000	1.00000	1.00000	
gene_181	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_182	1.00000	0.58343	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_183	1.00000	0.66225	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_184	1.00000	0.62035	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_185	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_186	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_187	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_188	1.00000	0.58343	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_189	1.00000	0.66225	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_190	1.00000	0.55066	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_191	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_192	1.00000	1.00000	1.00000	1.00000	0.49020	1.00000	1.00000	1.00000	
gene_193	1.00000	0.52138	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_194	1.00000	0.52138	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_195	1.00000	0.62035	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_196	1.00000	1.00000	1.00000	1.00000	0.57870	1.00000	1.00000	1.00000	
gene_197	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_198	1.00000	1.00000	1.00000	1.00000	0.51653	1.00000	1.00000	1.00000	
gene_199	1.00000	1.00000	1.00000	1.00000	0.49020	1.00000	1.00000	1.00000	
gene_200	1.00000	0.62035	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_201	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_202	1.00000	0.62035	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_203	1.00000	0.62035	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_204	1.00000	0.52138	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_205	1.00000	0.58343	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_206	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_207	1.00000	1.00000	1.00000	1.00000	0.57870	1.00000	1.00000	1.00000	
gene_208	1.00000	1.00000	1.00000	1.00000	0.54585	1.00000	1.00000	1.00000	
gene_209	1.00000	1.00000	1.00000	1.00000	0.51653	1.00000	1.00000	1.00000	
gene_210	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_211	1.00000	0.62035	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
