DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,Genome data rRNA content
COLOR,#0173b2
FIELD_COLORS,#0173b2
FIELD_LABELS,rRNA
DATASET_SCALE,10-0.1-#8e9594-1-0-8,20-0.2-#8e9594-1-0-8,30-0.3-#8e9594-1-0-8,40-0.4-#8e9594-1-0-8,50-0.5-#8e9594-1-0-8
DATA
streptococcus_11840,21.21212121212121
streptococcus_11884,22.388059701492537
streptococcus_07823,23.4375
streptococcus_00053,7.4074074074074066
streptococcus_11927,5.263157894736842
streptococcus_11933,23.076923076923077
streptococcus_01815,10.714285714285714
streptococcus_00331,2.631578947368421
streptococcus_02605,9.67741935483871
streptococcus_11838,8.108108108108109
streptococcus_11844,6.666666666666667
streptococcus_11845,26.08695652173913
streptococcus_11942,10.0
streptococcus_00012,6.451612903225806
streptococcus_00016,12.903225806451612
streptococcus_11868,26.47058823529412
streptococcus_11935,4.761904761904762
streptococcus_11908,13.333333333333334
streptococcus_11985,6.0
streptococcus_11984,6.25
streptococcus_11982,6.25
streptococcus_11983,6.8181818181818175
streptococcus_11978,6.521739130434782
streptococcus_11972,6.521739130434782
streptococcus_11973,6.122448979591836
streptococcus_11963,6.25
streptococcus_11971,6.382978723404255
streptococcus_11977,6.521739130434782
streptococcus_11964,8.0
streptococcus_11979,10.204081632653061
streptococcus_11968,6.25
streptococcus_11966,6.521739130434782
streptococcus_11975,5.88235294117647
streptococcus_11981,6.521739130434782
streptococcus_11974,7.547169811320755
streptococcus_11976,6.25
streptococcus_11980,6.122448979591836
streptococcus_00102,25.71428571428571
streptococcus_11965,6.382978723404255
streptococcus_11967,5.88235294117647
streptococcus_11970,6.521739130434782
streptococcus_11962,6.666666666666667
streptococcus_11969,7.142857142857142
streptococcus_11864,11.11111111111111
streptococcus_00175,12.5
streptococcus_05696,11.538461538461538
streptococcus_01804,4.545454545454546
streptococcus_05950,8.695652173913043
streptococcus_05954,48.64864864864865
streptococcus_02063,9.523809523809524
streptococcus_00186,7.142857142857142
streptococcus_02064,4.0
streptococcus_09918,8.333333333333332
streptococcus_04284,2.564102564102564
streptococcus_01723,14.285714285714285
streptococcus_02159,5.88235294117647
streptococcus_09930,17.857142857142858
streptococcus_04286,13.793103448275861
streptococcus_04015,20.588235294117645
streptococcus_00944,6.0606060606060606
streptococcus_00195,6.25
streptococcus_01809,16.666666666666664
streptococcus_04418,7.4074074074074066
streptococcus_09948,12.0
streptococcus_01671,9.375
streptococcus_04401,9.090909090909092
streptococcus_04403,20.0
streptococcus_07971,14.634146341463413
streptococcus_01727,26.865671641791046
streptococcus_11929,9.30232558139535
streptococcus_00029,8.823529411764707
streptococcus_09936,9.25925925925926
streptococcus_10375,10.526315789473683
streptococcus_00070,2.083333333333333
streptococcus_00105,8.571428571428571
streptococcus_00026,26.08695652173913
streptococcus_07986,16.666666666666664
streptococcus_11831,31.25
streptococcus_11836,11.76470588235294
streptococcus_00084,10.204081632653061
floricoccus_00001,9.615384615384617
lactococcus_00009,10.0
lactococcus_00001,5.555555555555555
lactococcus_00005,8.695652173913043
lactococcus_00173,3.0303030303030303
lactococcus_00180,8.88888888888889
lactococcus_00055,4.0
lactococcus_00092,9.090909090909092
lactococcus_00183,28.78787878787879
lactococcus_00184,30.64516129032258
lactococcus_00059,2.5
lactococcus_00020,28.07017543859649
lactococcus_00137,8.695652173913043
lactococcus_00186,30.158730158730158
lactococcus_00017,9.090909090909092
lactococcus_00181,16.9811320754717
lactococcus_00187,10.526315789473683
lactococcus_00188,14.285714285714285
streptococcus_11902,6.896551724137931
streptococcus_11955,6.0606060606060606
